OrderID (PK),OrderDate,CustomerID (fk),StaffID(fk)
BD-8F-09-C7-DC-2E,2020-12-29,460,102
F9-4C-70-17-3B-1D,2020-04-16,844,101
70-22-C7-96-87-91,2020-03-24,539,103
C5-51-50-E2-92-71,2020-11-27,168,101
0A-F6-E4-6C-AC-0D,2020-09-14,979,103
AB-5A-8F-05-47-F9,2020-06-15,973,101
82-BB-B9-96-01-7C,2020-01-31,883,102
24-AD-28-B6-D0-DF,2020-01-02,865,101
4B-5A-4C-B9-B4-18,2020-08-27,861,101
80-9B-A2-C6-02-3E,2020-08-30,535,101
AD-C8-7C-85-05-9F,2020-02-01,600,102
C8-C3-CC-93-05-4D,2020-01-30,333,103
86-F3-89-2A-E8-62,2020-08-18,839,101
6F-D5-2C-4F-1E-47,2020-12-22,830,103
78-69-67-FE-2E-F9,2020-12-21,290,101
A9-B1-08-70-67-E6,2020-01-03,179,101
F7-5C-12-66-B4-8F,2020-07-17,508,103
4D-5B-0B-5E-C7-11,2020-10-13,640,102
6E-F8-5C-1D-AF-A6,2020-02-01,991,103
9B-16-88-83-BA-81,2020-09-08,347,103
94-F5-1A-6D-6A-AD,2020-11-01,741,101
AC-0F-25-4F-08-F3,2020-12-09,644,102
EC-44-2B-57-C9-81,2020-06-22,634,103
BE-98-D9-84-22-88,2020-07-15,492,101
9D-3B-91-52-97-4B,2020-07-15,637,101
BD-84-12-6A-C7-16,2020-06-29,328,101
02-DA-0A-0B-84-F1,2020-07-04,491,101
35-B7-3E-A0-12-69,2020-01-07,880,102
56-7C-70-F5-5D-3F,2020-08-05,927,102
78-BF-2E-E6-B5-90,2020-07-30,229,103
81-78-8B-BB-F6-3E,2020-05-21,41,102
68-AA-43-0C-24-66,2020-01-11,456,101
61-7B-07-6C-DC-10,2020-07-20,768,103
3C-A0-E6-1D-7F-12,2020-04-14,408,102
45-90-0D-DE-15-F6,2020-08-03,353,103
0C-86-B3-42-71-1F,2020-06-14,300,101
C5-8D-0E-52-45-71,2020-11-07,800,103
EA-79-B0-B6-E4-C7,2020-06-11,614,103
70-91-22-15-F3-30,2020-06-03,941,102
3A-26-78-C2-DD-66,2020-06-26,898,101
E9-97-79-B8-53-99,2020-03-16,530,102
AF-10-9F-84-BA-3E,2020-08-04,282,102
76-56-AC-FE-B5-70,2020-10-28,177,101
C2-05-7B-3F-A3-58,2020-02-15,542,103
91-F3-1F-F6-E0-DB,2020-03-19,315,102
83-10-38-E0-8C-13,2020-10-08,224,102
02-A7-2B-F5-2D-66,2020-02-14,540,102
24-79-90-1C-AC-35,2020-08-14,769,103
55-85-FA-C5-62-9B,2020-12-09,32,101
73-BC-98-09-B0-76,2020-05-27,386,103
E1-B2-7E-67-42-A3,2020-11-25,997,101
1B-69-62-A8-5E-00,2020-10-17,775,101
F9-11-C7-6F-81-C1,2020-03-08,623,101
98-A5-69-E1-E8-5E,2020-01-27,590,102
6C-88-4B-53-74-B0,2020-06-07,992,101
71-27-43-D4-B6-86,2020-01-17,958,103
99-0F-E5-BB-E7-2E,2020-03-25,9,101
DC-C9-C5-C3-DC-31,2020-11-16,31,102
F5-A9-1B-1F-EB-F8,2020-02-09,653,102
1B-35-16-E1-F4-AB,2020-06-27,306,101
9C-73-A7-01-CA-33,2020-07-05,964,102
95-E0-4E-85-F0-99,2020-03-21,885,102
A5-34-71-6F-22-BB,2020-05-18,904,101
C7-8B-6D-7C-99-A9,2020-08-14,651,102
DA-2B-E5-46-7E-40,2020-07-31,391,101
69-C1-A8-A3-E0-70,2020-12-06,233,102
1F-61-75-A0-E8-23,2020-09-30,467,102
18-0B-0F-79-40-2A,2020-01-06,344,102
6D-8C-62-58-2B-6F,2020-02-29,896,101
CD-DE-34-AF-05-A8,2020-09-29,193,101
52-FC-C4-96-12-2C,2020-02-14,771,102
2F-8D-7C-56-D4-4F,2020-06-24,141,102
3F-06-7D-02-3E-FC,2020-08-02,262,103
CD-6E-AF-6A-E5-41,2020-11-06,679,102
2D-17-B9-8D-3C-74,2020-10-28,730,102
CC-4A-FB-0B-F4-C5,2020-09-10,732,103
FA-70-B3-0B-A4-44,2020-01-19,882,103
54-49-2F-90-A1-C7,2020-08-16,914,102
EB-51-46-CC-60-6F,2020-10-03,947,103
85-9D-52-D2-20-3B,2020-08-29,649,103
89-95-4B-41-FA-1F,2020-07-31,89,102
DA-47-BA-47-52-C1,2020-04-20,572,102
6A-E2-EF-98-A0-DE,2020-10-22,207,102
58-99-08-B7-8A-A5,2020-05-12,113,102
41-7A-FB-57-6B-2F,2020-03-28,961,103
5F-6B-2B-48-22-30,2020-11-19,847,103
E2-C1-E4-6F-69-D6,2020-01-04,703,101
81-19-CF-06-38-2B,2020-10-05,905,103
50-97-89-8B-79-D9,2020-01-14,783,103
1A-2B-8B-4D-B2-32,2020-08-02,141,102
C9-31-AE-75-7C-A0,2020-12-10,700,101
E8-1D-00-28-FF-D2,2020-07-23,307,101
75-9B-AE-8D-E2-6D,2020-04-13,67,103
73-5F-FA-CF-9E-DC,2020-11-06,878,103
B7-F4-B7-C3-0E-40,2020-08-20,250,102
20-56-2C-F8-E0-1D,2020-04-16,996,103
ED-C8-AB-CA-41-D3,2020-03-16,143,103
90-62-45-34-D2-DD,2020-08-27,213,102
AA-3B-C4-B0-2B-F5,2020-01-06,336,101
E1-24-3D-FC-7B-1C,2020-03-15,302,102
9C-5F-CF-B4-52-A0,2020-09-21,291,103
7D-A6-82-A8-75-3C,2020-01-20,851,102
12-B6-F0-87-F5-11,2020-03-14,441,102
D9-DC-DB-6F-EF-83,2020-03-24,27,101
47-C0-37-28-0C-E3,2020-06-16,7,101
F7-02-0E-B4-56-71,2020-12-28,498,101
3C-FD-67-2C-F4-D0,2020-09-25,857,102
54-32-7D-23-6A-1C,2020-01-31,706,101
05-B3-68-67-43-32,2020-06-28,780,102
50-40-53-17-82-70,2020-04-22,454,102
BC-44-6F-27-8F-4D,2020-08-20,736,102
5E-F9-FF-5E-28-EB,2020-07-18,270,102
87-26-D9-80-0A-C9,2020-03-28,753,101
B3-79-77-B9-F4-BC,2020-02-20,856,101
5B-53-30-C1-9D-5C,2020-06-17,580,103
5D-09-04-01-B8-49,2020-07-01,864,103
23-A3-16-49-88-A2,2020-05-29,112,102
DE-92-49-66-A5-5A,2020-09-21,266,102
6A-2C-9C-22-24-35,2020-02-26,597,103
BD-6C-11-D2-C6-AA,2020-03-16,327,103
0F-B2-C1-D3-85-9D,2020-07-22,368,101
2E-F0-75-EB-EB-11,2020-11-26,980,102
14-29-BC-47-82-2A,2020-02-18,541,103
92-6F-3D-EF-02-AD,2020-05-03,468,103
F3-F3-48-D5-47-6F,2020-05-15,558,102
2F-12-74-0E-67-45,2020-09-30,10,103
F0-D4-B5-21-21-B2,2020-12-13,95,103
AC-51-00-6D-30-17,2020-05-02,249,103
29-A7-E0-03-E3-07,2020-01-20,977,102
55-A5-33-E4-09-DE,2020-01-14,83,102
B7-38-44-AA-D3-04,2020-10-28,279,101
81-66-B4-5D-AB-6A,2020-04-30,178,103
D6-05-83-61-A8-8C,2020-12-06,625,102
26-75-D7-06-7D-B8,2020-03-16,871,103
AA-89-E6-82-E2-D8,2020-12-03,387,103
1D-9D-2D-BC-12-3A,2020-05-13,99,103
E1-32-8F-F2-7D-14,2020-11-12,464,103
9E-17-8C-B6-CF-FB,2020-12-31,127,101
C2-08-82-C0-C6-EC,2020-10-31,491,102
6C-6E-1D-B0-60-71,2020-01-20,358,101
90-5F-B7-C2-50-6A,2020-03-05,709,101
EE-E1-A8-BF-91-7A,2020-06-12,433,101
1D-BD-EF-D3-01-FF,2020-11-16,661,101
49-8B-9C-1C-B4-D0,2020-08-12,973,103
7E-73-CC-6F-6C-F1,2020-08-14,583,103
8D-0B-CD-E2-DA-8B,2020-01-23,40,102
8E-5B-F0-E4-6F-38,2020-12-28,890,102
C8-C4-6B-C3-56-93,2020-06-02,730,101
A2-4A-D1-79-D6-E7,2020-10-25,23,101
5F-32-22-76-CD-9D,2020-04-16,909,103
ED-0B-68-18-04-A2,2020-07-28,102,103
FA-DF-44-70-8C-4B,2020-10-22,799,102
32-51-EF-CB-2B-2A,2020-05-10,770,102
B4-14-DB-BA-55-CF,2020-07-11,792,101
A6-CD-75-16-35-83,2020-10-18,490,103
E9-34-2F-DA-E6-A7,2020-02-22,919,101
E7-9B-77-69-75-CB,2020-11-17,555,103
6B-52-29-12-BD-9C,2020-09-11,270,102
DC-E9-38-C8-81-25,2020-07-18,416,103
BA-48-BD-83-98-FA,2020-04-06,184,102
BA-13-A0-A7-D4-27,2020-09-10,973,102
46-3A-24-CE-8F-6E,2020-09-30,39,102
98-BD-62-16-20-4B,2020-05-31,738,103
2C-E9-92-EA-16-FA,2020-11-09,967,101
CA-71-90-20-25-9D,2020-09-15,393,102
60-C1-DE-AA-30-E1,2020-12-25,943,102
B7-9B-1A-66-3B-18,2020-08-02,261,102
A8-43-A3-C4-4A-7D,2020-10-17,568,102
6C-08-2E-E3-2D-5B,2020-05-05,76,103
D7-4E-45-3C-39-0E,2020-05-30,654,103
C1-1F-3B-74-E1-4D,2020-04-26,818,103
4D-1C-CE-A4-9E-F7,2020-07-29,892,102
23-8B-B4-44-33-A0,2020-01-11,617,103
04-02-4B-5B-0B-93,2020-07-02,532,103
93-72-9D-C0-88-B0,2020-11-04,466,103
A8-27-3D-E6-F4-33,2020-08-03,532,102
35-18-BD-4B-A5-44,2020-07-14,917,103
90-D2-D4-9B-1C-55,2020-10-07,835,103
09-7C-AE-F9-54-81,2020-04-28,405,102
83-EA-B7-C9-E1-05,2020-02-18,469,103
67-B6-D6-19-57-A8,2020-10-13,572,102
91-06-A8-57-42-D2,2020-01-03,437,101
57-A5-DA-23-1C-8F,2020-07-03,518,102
70-CC-42-40-CF-A6,2020-04-26,216,101
B4-83-27-42-D3-2D,2020-03-23,660,101
CB-05-BC-62-58-DD,2020-10-29,645,101
20-50-EC-72-AD-57,2020-07-30,762,102
30-92-F6-81-42-1B,2020-10-02,46,101
6B-D1-69-75-4B-F9,2020-08-24,302,102
59-F2-19-A7-04-68,2020-01-05,983,102
DE-99-33-3C-55-FD,2020-08-25,674,101
8E-49-31-70-55-A0,2020-03-29,575,101
32-C3-D4-6A-33-06,2020-06-20,912,102
15-C0-75-74-E4-AB,2020-07-30,812,102
70-0A-64-DC-C2-9C,2020-05-26,981,103
DD-81-F8-B3-73-EC,2020-10-21,722,101
96-01-73-09-FB-27,2020-06-14,844,101
72-F1-D8-A0-EA-AB,2020-09-22,231,102
4E-2D-27-38-54-98,2020-03-24,375,102
D4-A2-38-E4-17-DD,2020-06-01,586,101
90-73-F9-B7-0B-6E,2020-07-14,810,102
35-8B-A6-DD-75-2A,2020-05-23,439,101
73-2D-A5-88-AE-9A,2020-05-11,745,103
8E-25-4A-21-AD-D1,2020-09-21,566,101
5B-DE-81-66-AF-25,2020-12-18,512,101
43-4B-A8-01-70-C0,2020-05-07,620,102
EC-2C-45-00-79-04,2020-06-07,542,103
FB-60-FE-8D-62-13,2020-12-07,13,102
F7-40-3C-7E-0B-4E,2020-10-01,896,101
A9-60-EC-2B-36-51,2020-10-24,718,102
7C-CF-6C-AD-03-44,2020-10-01,369,101
9B-8B-4F-54-07-9D,2020-10-14,320,102
71-9F-D6-5D-50-A5,2020-03-07,917,102
DB-B1-B0-22-B5-DD,2020-01-11,361,102
23-E1-F6-D3-74-8D,2020-02-20,45,101
A0-F1-9E-FF-4C-DC,2020-02-16,581,101
AD-F0-B4-C3-EA-1F,2020-12-14,356,102
E2-B3-92-AF-15-BF,2020-03-14,120,101
20-A4-7A-60-40-C3,2020-09-24,899,101
FC-1E-E4-F6-C2-9E,2020-05-18,841,101
7C-2F-10-AA-2F-61,2020-06-06,414,102
9D-6A-EB-E3-1D-15,2020-04-22,405,102
0F-F0-BC-04-7E-7D,2020-04-02,561,101
7A-AD-E6-06-F2-97,2020-09-06,883,101
7B-0E-02-32-F6-CC,2020-07-11,877,103
64-93-E8-41-83-40,2020-12-15,55,103
20-DD-B4-75-3B-1A,2020-12-01,107,102
A2-75-74-33-36-07,2020-06-16,800,103
52-5F-3D-86-9D-7A,2020-06-20,400,101
90-E2-2F-07-5E-3B,2020-09-28,453,102
AF-0A-6A-BE-21-20,2020-02-03,835,101
29-08-45-0F-D0-CF,2020-02-04,700,102
BF-9C-A1-D7-68-45,2020-06-27,638,103
19-8E-58-14-61-A7,2020-10-18,299,103
DA-EE-85-11-63-36,2020-08-12,646,102
49-AF-F0-AE-F8-D2,2020-10-04,101,102
F5-9D-0B-4E-28-84,2020-08-24,480,101
E5-56-0F-6A-AD-9C,2020-09-29,588,103
AB-97-F6-36-63-73,2020-03-14,6,103
3D-8C-12-8A-5D-44,2020-01-31,449,102
95-24-D0-91-D9-B5,2020-11-21,706,102
2C-2A-8C-01-1E-96,2020-01-07,997,103
B8-B8-33-36-80-5B,2020-07-09,723,102
67-45-7C-CA-07-42,2020-10-10,718,103
88-D5-EA-98-11-E7,2020-06-03,374,103
4F-69-AF-EA-DD-27,2020-02-07,180,103
5F-11-32-EC-76-47,2020-06-04,734,102
BE-39-51-01-C8-F2,2020-07-25,922,101
86-24-AA-56-3D-AE,2020-09-02,409,103
B7-98-77-02-8A-DD,2020-06-13,915,102
A4-FE-0E-73-76-3D,2020-11-28,287,101
24-06-0D-F6-94-42,2020-11-21,332,102
BB-53-A3-F4-C5-6B,2020-08-10,413,102
11-4F-FD-0B-91-58,2020-02-08,670,102
06-AD-32-D5-95-0A,2020-07-27,374,102
7B-93-25-EC-B6-22,2020-05-12,197,102
EF-47-56-01-7C-81,2020-04-13,258,101
94-27-EC-E5-84-19,2020-02-03,791,101
EC-61-6A-CF-85-58,2020-12-23,904,102
AB-15-4D-8B-78-A0,2020-11-03,373,101
8B-17-EE-B3-10-16,2020-12-19,226,101
85-DF-F4-12-6F-F8,2020-04-03,539,101
05-E6-68-86-B0-FA,2020-06-09,518,103
BE-41-D2-1E-70-CA,2020-05-28,804,102
21-B8-73-D2-2D-97,2020-08-16,667,102
C7-B0-0C-54-21-40,2020-07-18,983,103
BE-65-2B-40-F3-BE,2020-07-02,649,102
A0-84-90-58-6E-57,2020-01-09,308,101
DE-C4-77-4C-03-73,2020-10-15,761,101
05-69-C4-70-60-ED,2020-10-17,467,102
5F-44-FE-E6-22-62,2020-11-26,339,103
4D-BE-A8-A3-E1-3B,2020-07-22,940,101
D1-27-4A-29-C1-D9,2020-08-03,298,101
24-69-5C-9A-DE-D2,2020-11-28,211,101
DB-CE-7D-77-83-52,2020-05-23,54,101
55-88-6A-9F-BF-17,2020-09-30,361,101
70-A7-D6-CD-82-0E,2020-09-20,569,103
32-10-4D-3D-2C-5B,2020-04-10,524,103
69-4C-09-38-B5-C7,2020-08-15,273,102
5D-66-FE-B3-96-29,2020-10-13,467,103
41-EC-0C-B2-BD-29,2020-08-02,319,103
53-A4-6C-DF-16-B1,2020-01-15,614,103
D6-18-C5-16-0C-E9,2020-01-09,790,102
07-60-E9-C9-47-F2,2020-09-01,166,102
7D-37-57-F8-30-F4,2020-09-05,81,103
74-AE-37-F3-D3-18,2020-07-29,822,103
BC-0F-C6-81-67-95,2020-03-13,517,102
18-13-A8-BE-37-D0,2020-06-25,62,103
E2-F0-08-0C-49-28,2020-09-29,782,103
7C-96-D1-9F-AE-00,2020-01-11,1,102
B2-99-76-0A-26-AC,2020-10-06,139,102
A1-1C-75-08-E9-D9,2020-08-29,425,101
B1-0B-B2-16-E1-93,2020-02-14,877,101
4A-50-11-99-C9-05,2020-06-25,518,101
E0-D4-8A-7E-81-6B,2020-09-03,881,103
71-E5-E9-AF-BD-09,2020-08-25,213,101
A1-41-C0-22-ED-CC,2020-06-18,665,103
91-0D-43-1E-3C-1A,2020-09-07,311,101
E2-65-D6-0F-DB-76,2020-10-23,324,102
1A-0E-65-57-65-D5,2020-09-01,127,102
EC-5F-25-7F-85-83,2020-12-13,283,103
F0-ED-04-D3-16-16,2020-08-30,475,102
92-4C-40-D1-3A-9B,2020-01-05,668,102
96-8A-D2-B5-65-C9,2020-05-15,497,102
D5-5F-3A-FE-23-F0,2020-04-20,934,102
15-63-F6-0F-17-E9,2020-11-17,945,101
4E-F5-C2-87-F2-26,2020-09-03,275,102
4B-91-21-8C-90-11,2020-07-14,700,103
D3-A4-EF-73-89-6E,2020-11-05,910,101
13-74-8B-3B-FE-BB,2020-01-06,197,103
DD-A4-0F-4A-EA-88,2020-06-10,651,103
13-2D-AC-E8-31-82,2020-03-14,59,102
DB-36-C7-1B-75-86,2020-12-08,994,102
05-CF-07-20-65-B1,2020-12-17,716,102
AB-BA-15-9E-FD-63,2020-05-05,170,101
11-66-33-4E-FB-36,2020-01-12,844,101
68-EB-A4-54-EC-81,2020-09-24,566,101
4E-B5-FF-40-16-A7,2020-08-30,182,101
A2-F5-A8-33-CB-52,2020-04-22,460,102
5C-1A-C8-8D-E4-4B,2020-09-03,353,103
7F-CA-55-22-6B-88,2020-09-20,623,102
28-7C-AE-EB-C8-EE,2020-11-27,408,102
05-4F-56-64-7D-6B,2020-02-01,998,102
16-15-61-01-12-19,2020-11-25,54,102
15-5C-3E-40-FD-D7,2020-08-06,743,102
CC-38-30-F5-5E-E3,2020-06-28,843,102
E9-75-1D-C0-48-E8,2020-07-27,511,102
A8-6B-CE-CC-DF-29,2020-06-20,943,102
FF-76-3C-9E-51-3D,2020-12-08,244,103
8C-E8-0A-0E-E4-6B,2020-10-16,108,102
8F-15-6D-AC-C1-55,2020-09-13,752,103
4D-10-B2-60-9B-5D,2020-02-07,174,101
1D-20-7A-10-93-F7,2020-11-13,116,101
CE-90-7C-60-22-E6,2020-09-17,77,103
CB-7E-03-34-C7-83,2020-12-13,814,103
56-27-EA-9C-87-28,2020-01-25,928,103
F3-CE-38-08-97-3E,2020-11-30,175,102
6C-98-C5-36-78-E6,2020-08-03,534,102
59-11-34-F9-F9-AD,2020-01-04,620,102
49-DE-41-10-A2-12,2020-10-11,154,101
D3-A5-01-36-18-C6,2020-12-01,325,102
DF-DE-D5-AE-CD-6E,2020-03-11,415,103
BE-71-16-16-4E-C5,2020-02-07,724,103
B4-89-AE-3B-E8-E0,2020-02-11,459,101
18-6D-38-79-DF-E1,2020-08-12,607,101
9A-BB-D4-62-AC-94,2020-02-07,736,101
E1-90-70-30-35-08,2020-07-14,415,103
A8-4B-A4-96-01-D1,2020-06-07,948,101
6D-47-7F-E1-46-01,2020-08-03,933,102
F4-41-5C-C8-4D-42,2020-05-19,85,103
21-DF-D2-62-B0-5F,2020-02-24,326,103
10-91-9F-2E-43-25,2020-10-11,738,101
26-66-E9-72-28-5B,2020-04-05,690,102
58-33-97-30-60-0D,2020-09-25,931,101
6F-13-4B-05-D5-23,2020-07-23,455,103
1F-D3-B0-AD-2D-B4,2020-04-03,446,103
61-2D-69-50-78-16,2020-10-23,918,101
6D-68-14-B7-C3-FE,2020-09-09,731,102
DC-9F-E2-D5-0E-47,2020-02-27,362,101
CF-A4-6D-14-A5-62,2020-09-08,594,101
F8-16-88-8E-35-4D,2020-01-23,275,102
4D-2C-3E-E3-37-30,2020-08-30,51,103
3E-A1-C7-30-B5-39,2020-12-13,854,101
22-38-C3-C0-98-3B,2020-10-15,924,103
6D-35-F1-04-0C-11,2020-02-01,794,101
78-81-6D-7A-33-42,2020-03-13,856,103
8B-54-AC-27-FA-21,2020-01-19,879,101
4E-EA-44-75-80-CC,2020-09-23,958,101
DC-EC-E8-29-E9-04,2020-02-27,921,101
B8-FA-31-DD-4B-DF,2020-10-01,414,102
F8-57-CF-FE-DD-C2,2020-07-20,599,101
FB-AE-5E-B3-05-F3,2020-01-15,263,103
04-ED-DC-CA-BB-98,2020-08-30,903,101
73-53-18-55-60-AF,2020-07-12,49,103
28-F1-5A-50-89-23,2020-01-27,537,102
11-19-4A-0C-2A-FA,2020-01-23,487,103
